Date,Ticker,Open,High,Low,Close,Volume
2026-06-08 00:00:00-04:00,AAPL,308.74,317.4,301.17,301.54,77949100
2026-06-09 00:00:00-04:00,AAPL,300.28,300.75,287.78,290.55,70108800
2026-06-10 00:00:00-04:00,AAPL,290.74,294.75,287.38,291.58,52793300
2026-06-11 00:00:00-04:00,AAPL,293.72,297.0,289.59,295.63,42572500
2026-06-12 00:00:00-04:00,AAPL,296.03,297.14,289.62,291.13,38742100
2026-06-15 00:00:00-04:00,AAPL,294.12,297.78,291.7,296.42,45732600
2026-06-16 00:00:00-04:00,AAPL,295.25,300.48,293.97,299.24,39874400
2026-06-17 00:00:00-04:00,AAPL,300.85,302.07,294.36,295.95,42745100
2026-06-18 00:00:00-04:00,AAPL,298.11,300.57,295.62,298.01,85962200
2026-06-22 00:00:00-04:00,AAPL,297.31,302.42,296.76,297.01,44879900
2026-06-23 00:00:00-04:00,AAPL,297.54,301.64,294.18,294.3,52010900
2026-06-24 00:00:00-04:00,AAPL,295.36,299.7,292.94,293.08,53081900
2026-06-25 00:00:00-04:00,AAPL,287.4,288.8,273.75,275.15,107013700
2026-06-26 00:00:00-04:00,AAPL,275.0,285.95,274.21,283.78,261775500
2026-06-29 00:00:00-04:00,AAPL,286.73,288.37,279.85,281.74,66427000
2026-06-30 00:00:00-04:00,AAPL,281.17,289.94,280.7,289.36,65100200
2026-07-01 00:00:00-04:00,AAPL,293.44,296.59,289.2,294.38,50164200
2026-07-02 00:00:00-04:00,AAPL,294.12,309.42,293.68,308.63,75352800
2026-07-06 00:00:00-04:00,AAPL,307.36,314.2,307.0,312.66,53590000
2026-07-07 00:00:00-04:00,AAPL,315.29,315.48,310.15,310.66,42426500
2026-06-08 00:00:00-04:00,MSFT,414.14,417.16,408.56,411.74,32086700
2026-06-09 00:00:00-04:00,MSFT,409.03,411.98,398.48,403.41,35317300
2026-06-10 00:00:00-04:00,MSFT,398.55,405.04,397.16,397.36,32576000
2026-06-11 00:00:00-04:00,MSFT,395.21,396.85,384.0,390.34,47224100
2026-06-12 00:00:00-04:00,MSFT,391.43,391.74,382.27,390.74,34865800
2026-06-15 00:00:00-04:00,MSFT,396.8,401.75,392.85,399.76,32266400
2026-06-16 00:00:00-04:00,MSFT,395.79,396.84,390.69,393.83,31506800
